common_name,scientific_name,common_scientific,itis_tsn,calcofi_species_code,n,paths
Medusafish,Icichthys lockingtoni,Medusafish (_Icichthys lockingtoni_),172510,536,76143,erdCalCOFIlrvcntHJtoID.csv
Ragfish,Icosteus aenigmaticus,Ragfish (_Icosteus aenigmaticus_),171663,541,76143,erdCalCOFIlrvcntHJtoID.csv
NA,Idiacanthus,NA (_Idiacanthus_),162299,162,76143,erdCalCOFIlrvcntHJtoID.csv
Pacific blackdragon,Idiacanthus antrostomus,Pacific blackdragon (_Idiacanthus antrostomus_),162301,161,76143,erdCalCOFIlrvcntHJtoID.csv
NA,Idiacanthus fasciola,NA (_Idiacanthus fasciola_),162300,1176,76143,erdCalCOFIlrvcntHJtoID.csv
Cheekspot goby,Ilypnus gilberti,Cheekspot goby (_Ilypnus gilberti_),171892,802,76143,erdCalCOFIlrvcntIEtoLA.csv
Pacific razorfish,Iniistius pavo,Pacific razorfish (_Iniistius pavo_),170765,1900,76143,erdCalCOFIlrvcntIEtoLA.csv
Butter sole,Isopsetta isolepis,Butter sole (_Isopsetta isolepis_),172919,962,76143,erdCalCOFIlrvcntIEtoLA.csv
Billfishes,Istiophoridae,Billfishes (_Istiophoridae_),172486,584,76143,erdCalCOFIlrvcntIEtoLA.csv
Sailfish,Istiophorus platypterus,Sailfish (_Istiophorus platypterus_),172488,586,76143,erdCalCOFIlrvcntIEtoLA.csv
NA,Kali,NA (_Kali_),171087,814,76143,erdCalCOFIlrvcntIEtoLA.csv
Needletooth swallower,Kali normani,Needletooth swallower (_Kali normani_),171091,878,76143,erdCalCOFIlrvcntIEtoLA.csv
smooth stargazer,Kathetostomus averruncus,smooth stargazer (_Kathetostomus averruncus_),171063,1975,76143,erdCalCOFIlrvcntIEtoLA.csv
Skipjack tuna,Katsuwonus pelamis,Skipjack tuna (_Katsuwonus pelamis_),172401,567,76143,erdCalCOFIlrvcntIEtoLA.csv
Sea Chubs,Kyphosidae,Sea Chubs (_Kyphosidae_),169503,660,76143,erdCalCOFIlrvcntIEtoLA.csv
NA,Kyphosus,NA (_Kyphosus_),169504,661,76143,erdCalCOFIlrvcntIEtoLA.csv
Wrasses,Labridae,Wrasses (_Labridae_),170477,635,76143,erdCalCOFIlrvcntIEtoLA.csv
Labrisomid kelpfishes,Labrisomidae,Labrisomid kelpfishes (_Labrisomidae_),553227,831,76143,erdCalCOFIlrvcntIEtoLA.csv
NA,Labrisomus,NA (_Labrisomus_),171408,829,76143,erdCalCOFIlrvcntIEtoLA.csv
Porehead blenny,Labrisomus multiporosus,Porehead blenny (_Labrisomus multiporosus_),638559,833,76143,erdCalCOFIlrvcntIEtoLA.csv
Largemouth blenny,Labrisomus xanti,Largemouth blenny (_Labrisomus xanti_),171418,834,76143,erdCalCOFIlrvcntIEtoLA.csv
Spiny boxfish,Lactoria diaphana,Spiny boxfish (_Lactoria diaphana_),173257,410,76143,erdCalCOFIlrvcntIEtoLA.csv
Thornback cowfish,Lactoria fornasini,Thornback cowfish (_Lactoria fornasini_),173255,408,76143,erdCalCOFIlrvcntIEtoLA.csv
Bighead mora,Laemonema verecundum,Bighead mora (_Laemonema verecundum_),623030,1310,76143,erdCalCOFIlrvcntIEtoLA.csv
NA,Lampadena,NA (_Lampadena_),162702,248,76143,erdCalCOFIlrvcntIEtoLA.csv
NA,Lampadena luminosa,NA (_Lampadena luminosa_),162706,257,76143,erdCalCOFIlrvcntIEtoLA.csv
Sunbeam lampfish,Lampadena urophaos,Sunbeam lampfish (_Lampadena urophaos_),162703,256,76143,erdCalCOFIlrvcntIEtoLA.csv
Lampfish,Lampanyctus,Lampfish (_Lampanyctus_),162632,1259,76143,erdCalCOFIlrvcntIEtoLA.csv
Spinytail lampfish,Lampanyctus acanthurus,Spinytail lampfish (_Lampanyctus acanthurus_),623827,1260,76143,erdCalCOFIlrvcntIEtoLA.csv
NA,Lampanyctus nobilis,NA (_Lampanyctus nobilis_),162643,277,76143,erdCalCOFIlrvcntIEtoLA.csv
NA,Lampanyctus omostigma,NA (_Lampanyctus omostigma_),182885,263,76143,erdCalCOFIlrvcntIEtoLA.csv
Slimtail lampfish,Lampanyctus parvicauda,Slimtail lampfish (_Lampanyctus parvicauda_),623832,264,76143,erdCalCOFIlrvcntIEtoLA.csv
Longfin lampfish,Lampanyctus steinbecki,Longfin lampfish (_Lampanyctus steinbecki_),623836,265,76143,erdCalCOFIlrvcntIEtoLA.csv
NA,Lampanyctus tenuiformis,NA (_Lampanyctus tenuiformis_),623716,267,76143,erdCalCOFIlrvcntIEtoLA.csv
Opah,Lampris guttatus,Opah (_Lampris guttatus_),166326,1295,76143,erdCalCOFIlrvcntIEtoLA.csv
NA,Larimus,NA (_Larimus_),169268,599,76143,erdCalCOFIlrvcntIEtoLA.csv
Escolar,Lepidocybium flavobrunneum,Escolar (_Lepidocybium flavobrunneum_),172362,593,76143,erdCalCOFIlrvcntLBtoLI.csv
Bay goby,Lepidogobius lepidus,Bay goby (_Lepidogobius lepidus_),171762,797,76143,erdCalCOFIlrvcntLBtoLI.csv
Rock sole,Lepidopsetta bilineata,Rock sole (_Lepidopsetta bilineata_),172917,944,76143,erdCalCOFIlrvcntLBtoLI.csv
Hawaiian Ridge scabbardfish,Lepidopus calcar,Hawaiian Ridge scabbardfish (_Lepidopus calcar_),551142,2250,76143,erdCalCOFIlrvcntLBtoLI.csv
Pacific scabbardfish,Lepidopus fitchi,Pacific scabbardfish (_Lepidopus fitchi_),172393,596,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Lepophidium,NA (_Lepophidium_),164823,879,76143,erdCalCOFIlrvcntLBtoLI.csv
Specklefin cusk-eel,Lepophidium negropinna,Specklefin cusk-eel (_Lepophidium negropinna_),623190,897,76143,erdCalCOFIlrvcntLBtoLI.csv
Botchfin cusk-eel,Lepophidium stigmatistium,Botchfin cusk-eel (_Lepophidium stigmatistium_),164838,3500,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Leptocephalus giganteus,NA (_Leptocephalus giganteus_),635825,379,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Leptocephalus holti,NA (_Leptocephalus holti_),635826,369,76143,erdCalCOFIlrvcntLBtoLI.csv
Pacific staghorn sculpin,Leptocottus armatus,Pacific staghorn sculpin (_Leptocottus armatus_),167302,742,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Leptostomias,NA (_Leptostomias_),162254,137,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Lestidiops,NA (_Lestidiops_),162476,312,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Lestidiops indopacifica,NA (_Lestidiops indopacifica_),644790,1222,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Lestidiops neles,NA (_Lestidiops neles_),644724,313,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Lestidiops pacificus,NA (_Lestidiops pacificus_),644725,314,76143,erdCalCOFIlrvcntLBtoLI.csv
Slender barracudina,Lestidiops ringens,Slender barracudina (_Lestidiops ringens_),644717,311,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Lestidium,NA (_Lestidium_),162464,323,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Lestrolepis,NA (_Lestrolepis_),162515,1228,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Lestrolepis intermedia,NA (_Lestrolepis intermedia_),162516,1230,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Lestrolepis japonica,NA (_Lestrolepis japonica_),644793,1231,76143,erdCalCOFIlrvcntLBtoLI.csv
California grunion,Leuresthes tenuis,California grunion (_Leuresthes tenuis_),166014,174,76143,erdCalCOFIlrvcntLBtoLI.csv
Northern smoothtongue,Leuroglossus schmidti,Northern smoothtongue (_Leuroglossus schmidti_),162098,74,76143,erdCalCOFIlrvcntLBtoLI.csv
California smoothtongue,Leuroglossus stilbius,California smoothtongue (_Leuroglossus stilbius_),162097,72,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Leuroglossus urotranus,NA (_Leuroglossus urotranus_),182856,64,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Limnichthys,NA (_Limnichthys_),171026,1964,76143,erdCalCOFIlrvcntLBtoLI.csv
Netdevils,Linophrynidae,Netdevils (_Linophrynidae_),164661,993,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Liparis,NA (_Liparis_),167550,771,76143,erdCalCOFIlrvcntLBtoLI.csv
Tidepool snailfish,Liparis florae,Tidepool snailfish (_Liparis florae_),167559,772,76143,erdCalCOFIlrvcntLBtoLI.csv
Slipskin snailfish,Liparis fucensis,Slipskin snailfish (_Liparis fucensis_),167560,773,76143,erdCalCOFIlrvcntLBtoLI.csv
Slimy snailfish,Liparis mucosus,Slimy snailfish (_Liparis mucosus_),167570,774,76143,erdCalCOFIlrvcntLBtoLI.csv
Showy snailfish,Liparis pulchellus,Showy snailfish (_Liparis pulchellus_),167572,775,76143,erdCalCOFIlrvcntLBtoLI.csv
Popeye blacksmelt,Lipolagus ochotensis,Popeye blacksmelt (_Lipolagus ochotensis_),623625,68,76143,erdCalCOFIlrvcntLBtoLI.csv
NA,Lobianchia gemellarii,NA (_Lobianchia gemellarii_),623876,266,76143,erdCalCOFIlrvcntLJtoMA.csv
Tripletail,Lobotes surinamensis,Tripletail (_Lobotes surinamensis_),169007,479,76143,erdCalCOFIlrvcntLJtoMA.csv
Goosefishes,Lophiidae,Goosefishes (_Lophiidae_),164497,975,76143,erdCalCOFIlrvcntLJtoMA.csv
NA,Lophiiformes,NA (_Lophiiformes_),164495,971,76143,erdCalCOFIlrvcntLJtoMA.csv
Spottedtail goosefish,Lophiodes caulinaris,Spottedtail goosefish (_Lophiodes caulinaris_),164508,956,76143,erdCalCOFIlrvcntLJtoMA.csv
Threadfin goosefish,Lophiodes spilurus,Threadfin goosefish (_Lophiodes spilurus_),649761,903,76143,erdCalCOFIlrvcntLJtoMA.csv
NA,Lophodolos indicus,NA (_Lophodolos indicus_),690540,1345,76143,erdCalCOFIlrvcntLJtoMA.csv
Lanternfishes,Myctophidae,Lanternfishes (_Myctophidae_),162575,215,76143,erdCalCOFIlrvcntMPtoNA.csv
Snappers,Lutjanidae,Snappers (_Lutjanidae_),168845,450,76143,erdCalCOFIlrvcntLJtoMA.csv
NA,Lutjanus,NA (_Lutjanus_),168846,454,76143,erdCalCOFIlrvcntLJtoMA.csv
NA,Lutjanus argentiventris,NA (_Lutjanus argentiventris_),168851,1675,76143,erdCalCOFIlrvcntLJtoMA.csv
Dog snapper,Lutjanus novemfasciatus,Dog snapper (_Lutjanus novemfasciatus_),168890,449,76143,erdCalCOFIlrvcntLJtoMA.csv
Red snapper,Lutjanus peru,Red snapper (_Lutjanus peru_),168897,455,76143,erdCalCOFIlrvcntLJtoMA.csv
Louvar,Luvarus imperialis,Louvar (_Luvarus imperialis_),172485,587,76143,erdCalCOFIlrvcntLJtoMA.csv
Splitfins,Luzonichthys,Splitfins (_Luzonichthys_),643104,1590,76143,erdCalCOFIlrvcntLJtoMA.csv
Slender sole,Lyopsetta exilis,Slender sole (_Lyopsetta exilis_),172871,943,76143,erdCalCOFIlrvcntLJtoMA.csv
NA,Lythrypnus,NA (_Lythrypnus_),171898,798,76143,erdCalCOFIlrvcntLJtoMA.csv
Bluebanded goby,Lythrypnus dalli,Bluebanded goby (_Lythrypnus dalli_),171899,799,76143,erdCalCOFIlrvcntLJtoMA.csv
Zebra goby,Lythrypnus zebra,Zebra goby (_Lythrypnus zebra_),171903,800,76143,erdCalCOFIlrvcntLJtoMA.csv
Barreleye,Macropinna microstoma,Barreleye (_Macropinna microstoma_),162101,53,76143,erdCalCOFIlrvcntLJtoMA.csv
Slender snipefish,Macroramphosus gracilis,Slender snipefish (_Macroramphosus gracilis_),551496,781,76143,erdCalCOFIlrvcntLJtoMA.csv
Grenadiers,Macrouridae,Grenadiers (_Macrouridae_),165332,895,76143,erdCalCOFIlrvcntLJtoMA.csv
Duckbill barracudina,Magnisudis atlantica,Duckbill barracudina (_Magnisudis atlantica_),644691,318,76143,erdCalCOFIlrvcntLJtoMA.csv
Redside blenny,Malacoctenus hubbsi,Redside blenny (_Malacoctenus hubbsi_),638573,898,76143,erdCalCOFIlrvcntLJtoMA.csv
Loosejaws,Malacosteinae,Loosejaws (_Malacosteinae_),622320,150,76143,erdCalCOFIlrvcntLJtoMA.csv
NA,Margrethia obtusirostra,NA (_Margrethia obtusirostra_),622694,1123,76143,erdCalCOFIlrvcntLJtoMA.csv
NA,Maurolicinae,NA (_Maurolicinae_),622314,1115,76143,erdCalCOFIlrvcntLJtoMA.csv
NA,Maurolicus,NA (_Maurolicus_),162186,99,76143,erdCalCOFIlrvcntLJtoMA.csv
NA,Maurolicus muelleri,NA (_Maurolicus muelleri_),162187,98,76143,erdCalCOFIlrvcntLJtoMA.csv
Halfmoon,Medialuna californiensis,Halfmoon (_Medialuna californiensis_),169522,666,28373,erdCalCOFIlrvcntMBtoMO.csv
NA,Melamphaes,NA (_Melamphaes_),166093,398,28306,erdCalCOFIlrvcntMBtoMO.csv
Highsnout bigscale,Melamphaes lugubris,Highsnout bigscale (_Melamphaes lugubris_),166094,396,28306,erdCalCOFIlrvcntMBtoMO.csv
Little bigscale,Melamphaes parvus,Little bigscale (_Melamphaes parvus_),649666,397,28306,erdCalCOFIlrvcntMBtoMO.csv
NA,Melamphaes simus,NA (_Melamphaes simus_),166103,399,28306,erdCalCOFIlrvcntMBtoMO.csv
Bigscales,Melamphaidae,Bigscales (_Melamphaidae_),166092,395,28306,erdCalCOFIlrvcntMBtoMO.csv
NA,Melanocetus,NA (_Melanocetus_),164612,984,28306,erdCalCOFIlrvcntMBtoMO.csv
Blackdevil,Melanocetus johnsoni,Blackdevil (_Melanocetus johnsoni_),164613,989,28306,erdCalCOFIlrvcntMBtoMO.csv
NA,Melanolagus bericoides,NA (_Melanolagus bericoides_),623332,1090,28306,erdCalCOFIlrvcntMBtoMO.csv
Midwater eelpout,Melanostigma pammelas,Midwater eelpout (_Melanostigma pammelas_),165295,890,28306,erdCalCOFIlrvcntMBtoMO.csv
Scaleless dragonfishes,Melanostomiinae,Scaleless dragonfishes (_Melanostomiinae_),622318,130,28440,erdCalCOFIlrvcntMBtoMO.csv
NA,Menticirrhus,NA (_Menticirrhus_),169273,617,28440,erdCalCOFIlrvcntMBtoMO.csv
California corbina,Menticirrhus undulatus,California corbina (_Menticirrhus undulatus_),169280,620,28440,erdCalCOFIlrvcntMBtoMO.csv
Hakes,Merlucciidae,Hakes (_Merlucciidae_),164789,900,28440,erdCalCOFIlrvcntMBtoMO.csv
Dwarf hake,Merluccius,Dwarf hake (_Merluccius_),164790,899,28306,erdCalCOFIlrvcntMBtoMO.csv
NA,Merluccius gayi,NA (_Merluccius gayi_),164799,902,28440,erdCalCOFIlrvcntMBtoMO.csv
Pacific hake or whiting,Merluccius productus,Pacific hake or whiting (_Merluccius productus_),164792,901,28306,erdCalCOFIlrvcntMBtoMO.csv
Midwater grenadier,Mesobius berryi,Midwater grenadier (_Mesobius berryi_),623139,1305,28440,erdCalCOFIlrvcntMBtoMO.csv
Wormfishes,Microdesmidae,Wormfishes (_Microdesmidae_),172161,844,28306,erdCalCOFIlrvcntMBtoMO.csv
NA,Microdesmus,NA (_Microdesmus_),172163,809,28306,erdCalCOFIlrvcntMBtoMO.csv
Spotside wormfish,Microdesmus suttkusi,Spotside wormfish (_Microdesmus suttkusi_),637630,2167,28440,erdCalCOFIlrvcntMBtoMO.csv
Pacific tomcod,Microgadus proximus,Pacific tomcod (_Microgadus proximus_),164719,906,28440,erdCalCOFIlrvcntMBtoMO.csv
NA,Micropogonias,NA (_Micropogonias_),169282,2550,28440,erdCalCOFIlrvcntMBtoMO.csv
NA,Microspathodon,NA (_Microspathodon_),170115,649,28440,erdCalCOFIlrvcntMBtoMO.csv
Dusky pencilsmelt,Microstoma,Dusky pencilsmelt (_Microstoma_),162093,58,28440,erdCalCOFIlrvcntMBtoMO.csv
Dover sole,Microstomus pacificus,Dover sole (_Microstomus pacificus_),172887,946,28306,erdCalCOFIlrvcntMBtoMO.csv
NA,Microstomus pacificus,NA (_Microstomus pacificus_),NA,NA,1,erdCalCOFIlrvcntMBtoMO.csv
Ribbontails,Mirapinnidae,Ribbontails (_Mirapinnidae_),162809,350,28440,erdCalCOFIlrvcntMBtoMO.csv
Ocean sunfish,Mola mola,Ocean sunfish (_Mola mola_),173414,400,28374,erdCalCOFIlrvcntMBtoMO.csv
Filefishes,Monacanthidae,Filefishes (_Monacanthidae_),203428,393,28306,erdCalCOFIlrvcntMBtoMO.csv
NA,Monolene,NA (_Monolene_),172785,937,28440,erdCalCOFIlrvcntMBtoMO.csv
Asaedai flounder,Monolene asaedai,Asaedai flounder (_Monolene asaedai_),616592,2278,28440,erdCalCOFIlrvcntMBtoMO.csv
Codlings,Moridae,Codlings (_Moridae_),164670,909,28440,erdCalCOFIlrvcntMBtoMO.csv
NA,Mugil,NA (_Mugil_),170334,481,76143,erdCalCOFIlrvcntMPtoNA.csv
Striped mullet,Mugil cephalus,Striped mullet (_Mugil cephalus_),170335,629,76143,erdCalCOFIlrvcntMPtoNA.csv
White mullet,Mugil curema,White mullet (_Mugil curema_),170336,630,76143,erdCalCOFIlrvcntMPtoNA.csv
Mullets,Mugilidae,Mullets (_Mugilidae_),170333,480,76143,erdCalCOFIlrvcntMPtoNA.csv
Goatfishes,Mullidae,Goatfishes (_Mullidae_),169406,460,76143,erdCalCOFIlrvcntMPtoNA.csv
Morays,Muraenidae,Morays (_Muraenidae_),161160,370,76143,erdCalCOFIlrvcntMPtoNA.csv
Longfin lanternfish,Diogenichthys atlanticus,Longfin lanternfish (_Diogenichthys atlanticus_),162676,239,76143,erdCalCOFIlrvcntDHtoEC.csv
Panama lanternfish,Benthosema panamense,Panama lanternfish (_Benthosema panamense_),623748,217,76143,erdCalCOFIlrvcntBCEtoBZ.csv
NA,Myctophiformes,NA (_Myctophiformes_),162368,190,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Myctophum asperum,NA (_Myctophum asperum_),162721,276,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Myctophum lychnobium,NA (_Myctophum lychnobium_),623845,275,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Myctophum obtusirostre,NA (_Myctophum obtusirostre_),623878,271,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Myctophum selenops,NA (_Myctophum selenops_),162724,279,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Myctophum spinosum,NA (_Myctophum spinosum_),162725,1289,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Myctophum,NA (_Myctophum_),162753,274,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Protomyctophum,NA (_Protomyctophum_),162684,289,76143,erdCalCOFIlrvcntPPtoPZ.csv
NA,Myripristinae,NA (_Myripristinae_),622095,1440,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Myripristis,NA (_Myripristis_),166210,401,76143,erdCalCOFIlrvcntMPtoNA.csv
Panamic squirrelfish,Myripristis leiognathos,Panamic squirrelfish (_Myripristis leiognathos_),633885,407,76143,erdCalCOFIlrvcntMPtoNA.csv
Pacific worm eel,Myrophis vafer,Pacific worm eel (_Myrophis vafer_),161454,392,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Nannobrachium,NA (_Nannobrachium_),623699,261,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Nannobrachium achirus,NA (_Nannobrachium achirus_),623742,278,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Nannobrachium bristori,NA (_Nannobrachium bristori_),623849,268,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Nannobrachium hawaiiensis,NA (_Nannobrachium hawaiiensis_),623853,269,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Nannobrachium idostigma,NA (_Nannobrachium idostigma_),623743,262,76143,erdCalCOFIlrvcntMPtoNA.csv
Pinpoint lampfish,Nannobrachium regale,Pinpoint lampfish (_Nannobrachium regale_),623744,259,76143,erdCalCOFIlrvcntMPtoNA.csv
Broadfin lampfish,Nannobrachium ritteri,Broadfin lampfish (_Nannobrachium ritteri_),623745,260,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Nannobrachium sp (cf nigrum),NA (_Nannobrachium sp (cf nigrum)_),623856,1270,76143,erdCalCOFIlrvcntMPtoNA.csv
NA,Nansenia,NA (_Nansenia_),162058,61,76143,erdCalCOFIlrvcntMPtoNA.csv
Bluethroat argentine,Nansenia candida,Bluethroat argentine (_Nansenia candida_),162059,62,76143,erdCalCOFIlrvcntMPtoNA.csv
Stout argentine,Nansenia crassa,Stout argentine (_Nansenia crassa_),623630,63,76143,erdCalCOFIlrvcntMPtoNA.csv
Unicornfishes,Naso,Unicornfishes (_Naso_),172288,2210,76143,erdCalCOFIlrvcntMPtoNA.csv
Pilotfish,Naucrates ductor,Pilotfish (_Naucrates ductor_),168742,512,76143,erdCalCOFIlrvcntMPtoNA.csv
Black snake mackerel,Nealotus tripes,Black snake mackerel (_Nealotus tripes_),172368,592,76143,erdCalCOFIlrvcntNBtoOL.csv
Roosterfish,Nematistius pectoralis,Roosterfish (_Nematistius pectoralis_),168744,511,76143,erdCalCOFIlrvcntNBtoOL.csv
Snipe Eels,Nemichthyidae,Snipe Eels (_Nemichthyidae_),161612,329,76143,erdCalCOFIlrvcntNBtoOL.csv
NA,Nemichthys,NA (_Nemichthys_),161621,364,76143,erdCalCOFIlrvcntNBtoOL.csv
Brown snipe eel,Nemichthys scolopaceus,Brown snipe eel (_Nemichthys scolopaceus_),161624,365,76143,erdCalCOFIlrvcntNBtoOL.csv
NA,Neoclinus,NA (_Neoclinus_),171477,838,76143,erdCalCOFIlrvcntNBtoOL.csv
Sarcastic fringehead,Neoclinus blanchardi,Sarcastic fringehead (_Neoclinus blanchardi_),171478,837,76143,erdCalCOFIlrvcntNBtoOL.csv
Yellowfin fringehead,Neoclinus stephensae,Yellowfin fringehead (_Neoclinus stephensae_),171479,839,76143,erdCalCOFIlrvcntNBtoOL.csv
NA,Neoconger vermiformis,NA (_Neoconger vermiformis_),635484,344,76143,erdCalCOFIlrvcntNBtoOL.csv
Black gemfish,Nesiarchus nasutus,Black gemfish (_Nesiarchus nasutus_),172370,2230,76143,erdCalCOFIlrvcntNBtoOL.csv
Duckbill Eels,Nettastomatidae,Duckbill Eels (_Nettastomatidae_),161301,356,76143,erdCalCOFIlrvcntNBtoOL.csv
NA,Nezumia,NA (_Nezumia_),165393,894,76143,erdCalCOFIlrvcntNBtoOL.csv
Loosetooth parrotfish,Nicholsina denticulata,Loosetooth parrotfish (_Nicholsina denticulata_),614667,1910,76143,erdCalCOFIlrvcntNBtoOL.csv
"Flotsamfishes, driftfishes",Nomeidae,"Flotsamfishes, driftfishes (_Nomeidae_)",172535,520,76143,erdCalCOFIlrvcntNBtoOL.csv
Man-of-war fish,Nomeus gronovii,Man-of-war fish (_Nomeus gronovii_),172554,521,76143,erdCalCOFIlrvcntNBtoOL.csv
Topside lampfish,Notolychnus valdiviae,Topside lampfish (_Notolychnus valdiviae_),162729,281,76143,erdCalCOFIlrvcntNBtoOL.csv
Roundnose lanternfish,Centrobranchus nigroocellatus,Roundnose lanternfish (_Centrobranchus nigroocellatus_),162732,221,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
Patchwork lampfish,Notoscopelus resplendens,Patchwork lampfish (_Notoscopelus resplendens_),162654,283,76143,erdCalCOFIlrvcntNBtoOL.csv
Silverside,Odontesthes regia,Silverside (_Odontesthes regia_),630683,1360,76143,erdCalCOFIlrvcntNBtoOL.csv
Pygmy poacher,Odontopyxis trispinosa,Pygmy poacher (_Odontopyxis trispinosa_),167460,762,76143,erdCalCOFIlrvcntNBtoOL.csv
Batfishes,Ogcocephalidae,Batfishes (_Ogcocephalidae_),164573,998,76143,erdCalCOFIlrvcntNBtoOL.csv
NA,Oligocottus,NA (_Oligocottus_),167332,749,76143,erdCalCOFIlrvcntNBtoOL.csv
Tidepool sculpin,Oligocottus maculosus,Tidepool sculpin (_Oligocottus maculosus_),167333,753,76143,erdCalCOFIlrvcntNBtoOL.csv
NA,Oligocottus snyderi,NA (_Oligocottus snyderi_),167335,1528,76143,erdCalCOFIlrvcntNBtoOL.csv
Leatherjackets,Oligoplites,Leatherjackets (_Oligoplites_),168672,513,76143,erdCalCOFIlrvcntNBtoOL.csv
Yellowtail leatherjacket,Oligoplites saurus,Yellowtail leatherjacket (_Oligoplites saurus_),168673,498,76143,erdCalCOFIlrvcntNBtoOL.csv
NA,Omosudis lowei,NA (_Omosudis lowei_),162522,331,76143,erdCalCOFIlrvcntOMtoOX.csv
Dreamers,Oneirodes,Dreamers (_Oneirodes_),164629,999,76143,erdCalCOFIlrvcntOMtoOX.csv
Dreamers,Oneirodidae,Dreamers (_Oneirodidae_),164625,991,76143,erdCalCOFIlrvcntOMtoOX.csv
Snake Eels,Ophichthidae,Snake Eels (_Ophichthidae_),161419,375,76143,erdCalCOFIlrvcntOMtoOX.csv
NA,Ophichthus,NA (_Ophichthus_),161458,377,76143,erdCalCOFIlrvcntOMtoOX.csv
Yellow snake eel,Ophichthus zophochir,Yellow snake eel (_Ophichthus zophochir_),161469,376,76143,erdCalCOFIlrvcntOMtoOX.csv
Cusk-eels,Ophidiidae,Cusk-eels (_Ophidiidae_),164807,870,76143,erdCalCOFIlrvcntOMtoOX.csv
NA,Ophidiiformes,NA (_Ophidiiformes_),553139,869,76143,erdCalCOFIlrvcntOMtoOX.csv
NA,Ophidion,NA (_Ophidion_),164839,786,76143,erdCalCOFIlrvcntOMtoOX.csv
Basketweave cusk-eel,Ophidion scrippsae,Basketweave cusk-eel (_Ophidion scrippsae_),164856,871,76143,erdCalCOFIlrvcntOMtoOX.csv
Panamic fanged blenny,Ophioblennius steindachneri,Panamic fanged blenny (_Ophioblennius steindachneri_),636462,868,76143,erdCalCOFIlrvcntOMtoOX.csv
Lingcod,Ophiodon elongatus,Lingcod (_Ophiodon elongatus_),167116,720,76143,erdCalCOFIlrvcntOMtoOX.csv
Jawfishes,Opisthognathidae,Jawfishes (_Opisthognathidae_),645316,543,76143,erdCalCOFIlrvcntOMtoOX.csv
NA,Opisthonema,NA (_Opisthonema_),161747,16,76143,erdCalCOFIlrvcntOMtoOX.csv
Snubnose sculpin,Orthonopias triacis,Snubnose sculpin (_Orthonopias triacis_),167388,734,76143,erdCalCOFIlrvcntOMtoOX.csv
NA,Orthopristis,NA (_Orthopristis_),169076,2500,76143,erdCalCOFIlrvcntOMtoOX.csv
Smelts,Osmeridae,Smelts (_Osmeridae_),162028,45,76143,erdCalCOFIlrvcntOMtoOX.csv
Boxfishes,Ostraciidae,Boxfishes (_Ostraciidae_),173235,414,76143,erdCalCOFIlrvcntOMtoOX.csv
Spotted boxfish,Ostracion meleagris,Spotted boxfish (_Ostracion meleagris_),173252,416,76143,erdCalCOFIlrvcntOMtoOX.csv
NA,Oxycheilinus,NA (_Oxycheilinus_),613121,1875,76143,erdCalCOFIlrvcntOMtoOX.csv
Senorita,Oxyjulis californica,Senorita (_Oxyjulis californica_),170597,639,76143,erdCalCOFIlrvcntOMtoOX.csv
Painted greenling,Oxylebius pictus,Painted greenling (_Oxylebius pictus_),167118,730,76143,erdCalCOFIlrvcntOMtoOX.csv
Shortwing flyingfish,Oxyporhamphus micropterus,Shortwing flyingfish (_Oxyporhamphus micropterus_),165520,181,76143,erdCalCOFIlrvcntOMtoOX.csv
NA,Oxyurichthys,NA (_Oxyurichthys_),171945,2140,76143,erdCalCOFIlrvcntOMtoOX.csv
NA,Parabothus,NA (_Parabothus_),172822,2280,76143,erdCalCOFIlrvcntOYtoPI.csv
