common_name,scientific_name,common_scientific,itis_tsn,calcofi_species_code,n,paths
NA,Stomiiformes,NA (_Stomiiformes_),553138,109,76143,erdCalCOFIlrvcntSJtoST.csv
Scaly dragonfishes,Stomiinae,Scaly dragonfishes (_Stomiinae_),622317,120,76143,erdCalCOFIlrvcntSJtoST.csv
California needlefish,Strongylura exilis,California needlefish (_Strongylura exilis_),165555,164,76143,erdCalCOFIlrvcntSJtoST.csv
Tube-eyes,Stylephorus chordatus,Tube-eyes (_Stylephorus chordatus_),166360,1297,76143,erdCalCOFIlrvcntSJtoST.csv
Hideous barracudina,Sudis atrox,Hideous barracudina (_Sudis atrox_),162505,321,55217,erdCalCOFIlrvcntSUtoTE.csv
NA,Syacium,NA (_Syacium_),172790,914,55217,erdCalCOFIlrvcntSUtoTE.csv
Oval flounder,Syacium ovale,Oval flounder (_Syacium ovale_),616481,927,54885,erdCalCOFIlrvcntSUtoTE.csv
NA,Symbolophorus,NA (_Symbolophorus_),162666,298,55217,erdCalCOFIlrvcntSUtoTE.csv
Slendertail lanternfish,Gonichthys tenuiculus,Slendertail lanternfish (_Gonichthys tenuiculus_),623813,249,76143,erdCalCOFIlrvcntGOtoHA.csv
Spinycheek lanternfish,Benthosema fibulatum,Spinycheek lanternfish (_Benthosema fibulatum_),623747,1280,76143,erdCalCOFIlrvcntBCEtoBZ.csv
NA,Symphurus,NA (_Symphurus_),173061,966,54885,erdCalCOFIlrvcntSUtoTE.csv
California tonguefish,Symphurus atricaudus,California tonguefish (_Symphurus atricaudus_),616607,967,54885,erdCalCOFIlrvcntSUtoTE.csv
Chocolate tonguefish,Symphurus callopterus,Chocolate tonguefish (_Symphurus callopterus_),616485,970,55217,erdCalCOFIlrvcntSUtoTE.csv
Elongate tonguefish,Symphurus elongatus,Elongate tonguefish (_Symphurus elongatus_),616489,964,54885,erdCalCOFIlrvcntSUtoTE.csv
NA,Symphysanodon,NA (_Symphysanodon_),167907,1610,55217,erdCalCOFIlrvcntSUtoTE.csv
Dragonet,Synchiropus atrilabiatus,Dragonet (_Synchiropus atrilabiatus_),642601,830,55217,erdCalCOFIlrvcntSUtoTE.csv
